mysql> \. query.sql
+-------+------------+---------------+
| name  | contact_no | date_of_visit |
| qqfmm |   22349029 | 2013-10-24    |
| nhzxi |   94876518 | 2013-10-02    |
| fubgo |   84560630 | 2013-09-19    |
| fubgo |   84560630 | 2013-10-30    |
| texvd |   59304554 | 2013-10-15    |
| enjgn |   88219261 | 2013-09-03    |
| enjgn |   88219261 | 2013-10-06    |
| vlpmb |   72260416 | 2013-09-13    |
| vlpmb |   72260416 | 2013-10-24    |
| sdufx |   63847139 | 2013-10-02    |
| penqp |   21363500 | 2013-10-24    |
| zftpy |   98114730 | 2013-09-13    |
| zftpy |   98114730 | 2013-10-13    |
| eapql |   20103975 | 2013-09-12    |
| eapql |   20103975 | 2013-10-27    |
| jnwlm |   67816726 | 2013-10-12    |
| jnwlm |   67816726 | 2013-10-22    |
| wotrj |   53492198 | 2013-09-21    |
| upgrd |   55673781 | 2013-10-11    |
| otooe |   83874720 | 2013-09-29    |
| rdygj |   58930465 | 2013-09-28    |
| rdygj |   58930465 | 2013-10-25    |
| pmmgh |   48476889 | 2013-10-20    |
| rkxus |   26512405 | 2013-10-21    |
| dekxm |   48213801 | 2013-09-26    |
| dekxm |   48213801 | 2013-10-17    |
| jqlpx |   36221317 | 2013-09-17    |
| jqlpx |   36221317 | 2013-09-21    |
| xqwab |   51396178 | 2013-09-26    |
| ikguq |   79660907 | 2013-10-26    |
| ikguq |   79660907 | 2013-10-30    |
| inhsg |   30212768 | 2013-09-26    |
| udhdh |   34050081 | 2013-09-20    |
| euqbt |   86462814 | 2013-09-22    |
| rmkkh |   51606297 | 2013-10-18    |
| hfoif |   41580000 | 2013-10-30    |
| tllod |   75632331 | 2013-10-05    |
| ahowb |   90269312 | 2013-10-10    |
| jysts |   79373973 | 2013-10-01    |
| jysts |   79373973 | 2013-10-24    |
| zzqln |   26106884 | 2013-09-15    |
| ryxdj |   81347272 | 2013-10-05    |
| pjhhn |   32942476 | 2013-10-24    |
| rexuz |   66985561 | 2013-09-03    |
| rexuz |   66985561 | 2013-09-22    |
| ypcqq |   97363634 | 2013-10-04    |
| zxoyz |   45398846 | 2013-09-07    |
| zxoyz |   45398846 | 2013-09-09    |
| cxfsp |   48982993 | 2013-10-21    |
| zytuy |   90060074 | 2013-09-08    |
| zniym |   63848638 | 2013-09-03    |
| zniym |   63848638 | 2013-09-23    |
| zniym |   63848638 | 2013-10-14    |
| xyzbl |   54533464 | 2013-09-06    |
| jfhik |   83162420 | 2013-10-22    |
| enmcy |   30717709 | 2013-10-23    |
| ztzbr |   38890731 | 2013-09-25    |
| kevuj |   52592875 | 2013-09-26    |
| srhsj |   64457974 | 2013-09-21    |
| gfayq |   50565020 | 2013-09-17    |
| iivrl |   65499509 | 2013-10-21    |
| aizar |   29345301 | 2013-10-08    |
| ctawn |   20441559 | 2013-10-18    |
| cvkcl |   83686262 | 2013-09-09    |
| cvkcl |   83686262 | 2013-10-10    |
| jjxfq |   94532380 | 2013-09-18    |
| askrs |   84605331 | 2013-09-11    |
| skhgt |   20114484 | 2013-09-02    |
| zceck |   49886678 | 2013-09-24    |
| bzloz |   48167150 | 2013-09-12    |
| qkzly |   12801424 | 2013-09-05    |
| tjhmu |   87927364 | 2013-09-08    |
| tjhmu |   87927364 | 2013-10-04    |
| tjhmu |   87927364 | 2013-10-21    |
| uelym |   72285671 | 2013-09-14    |
| uelym |   72285671 | 2013-09-29    |
| ihhuh |   32478499 | 2013-09-24    |
| zssad |   41617683 | 2013-10-12    |
| iffeq |   15535119 | 2013-10-02    |
| iffeq |   15535119 | 2013-10-05    |
| nczhc |   43452190 | 2013-09-21    |
| zaele |   96047433 | 2013-09-04    |
| zaele |   96047433 | 2013-10-06    |
| gpvny |   52885620 | 2013-09-26    |
| lmuda |   71385680 | 2013-10-02    |
| frvij |   76760678 | 2013-09-24    |
| pceql |   71582803 | 2013-10-09    |
| lzwfb |   58791522 | 2013-09-14    |
| ykyok |   87452690 | 2013-10-02    |
| mkpzy |   42587378 | 2013-10-26    |
| wzknh |   59423927 | 2013-09-22    |
| xkaqu |   25252117 | 2013-10-20    |
| clyzq |   80743701 | 2013-09-28    |
| ncmny |   91770657 | 2013-09-04    |
| ncmny |   91770657 | 2013-09-30    |
| ncmny |   91770657 | 2013-10-06    |
| xriqa |   76128944 | 2013-09-23    |
| xriqa |   76128944 | 2013-09-29    |
| wmhuf |   55679243 | 2013-09-20    |
| zpvwa |   21773415 | 2013-10-16    |
| lxirs |   48673349 | 2013-10-18    |
| kwfvo |   57672507 | 2013-09-07    |
| irams |   67823660 | 2013-09-22    |
| ccuhv |   15797883 | 2013-09-30    |
| mgqhi |   42450927 | 2013-10-14    |
| ebato |   38534987 | 2013-10-19    |
| ebato |   38534987 | 2013-10-26    |
| ebato |   38534987 | 2013-10-27    |
| pqlhh |   99249425 | 2013-10-12    |
| xcktv |   10353374 | 2013-09-11    |
| xcktv |   10353374 | 2013-09-19    |
| xcktv |   10353374 | 2013-09-29    |
| hsubc |   43715691 | 2013-09-13    |
| hsubc |   43715691 | 2013-10-20    |
| hsubc |   43715691 | 2013-10-26    |
| gdkly |   88030690 | 2013-10-08    |
| iamuc |   24614665 | 2013-10-18    |
| iamuc |   24614665 | 2013-10-22    |
| resiw |   70886214 | 2013-10-26    |
| xeyts |   17356996 | 2013-09-18    |
| mjcxh |   69915287 | 2013-09-15    |
| fqbgn |   37606763 | 2013-09-06    |
| qabrj |   92345686 | 2013-09-30    |
| qabrj |   92345686 | 2013-10-11    |
| lanqt |   62284516 | 2013-09-05    |
| wwoiw |   28179314 | 2013-09-17    |
| wwoiw |   28179314 | 2013-10-27    |
| cqzck |   52810783 | 2013-10-15    |
| wwrqj |   59248200 | 2013-09-07    |
| hfnim |   46159808 | 2013-10-21    |
| rgjbv |   37744794 | 2013-10-14    |
| iwlxt |   27877662 | 2013-09-03    |
| iwlxt |   27877662 | 2013-10-24    |
| iwlxt |   27877662 | 2013-10-30    |
| zidgl |   29900192 | 2013-10-25    |
| dpjdw |   37883224 | 2013-10-26    |
| zuqpw |   90468769 | 2013-09-23    |
| pshtn |   84323447 | 2013-09-21    |
| tsbdl |   58363953 | 2013-10-16    |
| wnwrz |   21689187 | 2013-10-12    |
| hgnqc |   23057840 | 2013-10-22    |
| gdraa |   63704757 | 2013-10-16    |
| naqye |   63212257 | 2013-09-08    |
| vlpkb |   26410683 | 2013-09-18    |
| vlpkb |   26410683 | 2013-10-25    |
| erdit |   43426278 | 2013-09-02    |
| nwkap |   51773076 | 2013-10-20    |
| nwkap |   51773076 | 2013-10-30    |
| abyeg |   47990832 | 2013-09-21    |
| nhnml |   21664396 | 2013-10-19    |
| ugamv |   70413896 | 2013-10-22    |
| apdna |   66356066 | 2013-10-12    |
| zpkdo |   87624562 | 2013-10-13    |
| zpkdo |   87624562 | 2013-10-22    |
| pegca |   57125145 | 2013-09-30    |
| zgsgl |   13391355 | 2013-09-01    |
| zgsgl |   13391355 | 2013-10-22    |
| evwbz |   56619613 | 2013-09-07    |
| qzjts |   65819271 | 2013-09-18    |
| qzjts |   65819271 | 2013-10-05    |
| pbnqw |   70005317 | 2013-09-25    |
| twpsf |   64545228 | 2013-09-08    |
| yyktx |   47389743 | 2013-09-11    |
| tmxml |   84422496 | 2013-10-22    |
| forrr |   77863798 | 2013-10-03    |
| loqyb |   92115911 | 2013-09-15    |
| dvmoa |   57312934 | 2013-09-02    |
| zopqz |   49219961 | 2013-09-02    |
| zopqz |   49219961 | 2013-10-04    |
| qdffr |   22340817 | 2013-09-13    |
| hfymy |   49676319 | 2013-10-13    |
| fhxbm |   48214931 | 2013-10-08    |
| fhxbm |   48214931 | 2013-10-22    |
| qaktq |   93419685 | 2013-10-08    |
| qaktq |   93419685 | 2013-10-27    |
| xwkkx |   17153738 | 2013-09-23    |
| xwkkx |   17153738 | 2013-10-02    |
| ekpgk |   46290216 | 2013-10-28    |
| eghqo |   42766651 | 2013-09-16    |
| eghqo |   42766651 | 2013-10-17    |
| xlazt |   96163162 | 2013-09-21    |
| xlazt |   96163162 | 2013-10-08    |
| xlazt |   96163162 | 2013-10-25    |
| icchl |   91441598 | 2013-09-13    |
| nkhwd |   16060537 | 2013-09-06    |
| nkhwd |   16060537 | 2013-09-12    |
| nkhwd |   16060537 | 2013-10-15    |
| fdeel |   99922986 | 2013-09-02    |
| tgorv |   42624439 | 2013-10-13    |
| kmtla |   44501307 | 2013-10-05    |
| ebhnh |   19143888 | 2013-09-26    |
| glwld |   29843425 | 2013-09-14    |
| glwld |   29843425 | 2013-10-29    |
| aewnw |   48148045 | 2013-09-03    |
| aewnw |   48148045 | 2013-10-16    |
| nzhkn |   74426918 | 2013-10-22    |
| ufizx |   77233393 | 2013-10-26    |
| fcuby |   51008612 | 2013-09-10    |
| fcuby |   51008612 | 2013-10-22    |
| jpslb |   14007412 | 2013-09-30    |
| ayupz |   30030909 | 2013-10-23    |
| nktol |   68891358 | 2013-09-17    |
| qahvf |   76138478 | 2013-09-13    |
| qahvf |   76138478 | 2013-10-22    |
| ppfkh |   60036566 | 2013-09-14    |
| ppfkh |   60036566 | 2013-10-06    |
| ahgfg |   95407161 | 2013-09-07    |
| iwvxx |   13750096 | 2013-09-04    |
| jmhkv |   26254253 | 2013-09-24    |
| jmhkv |   26254253 | 2013-09-26    |
| swvzq |   68478756 | 2013-09-07    |
| swvzq |   68478756 | 2013-09-24    |
| vsssx |   12403447 | 2013-10-29    |
| klraf |   27592053 | 2013-09-29    |
| klraf |   27592053 | 2013-10-21    |
| wnysp |   74589913 | 2013-09-07    |
| wnysp |   74589913 | 2013-09-16    |
| wnysp |   74589913 | 2013-10-13    |
| wnysp |   74589913 | 2013-10-30    |
| bdbgr |   37861700 | 2013-10-03    |
| hqxqn |   43414201 | 2013-10-07    |
| hqxqn |   43414201 | 2013-10-29    |
| domha |   24544035 | 2013-09-03    |
| eacbl |   12020042 | 2013-09-29    |
| khgeu |   60794863 | 2013-10-14    |
| adylf |   30375860 | 2013-09-11    |
| adylf |   30375860 | 2013-09-21    |
| adylf |   30375860 | 2013-10-19    |
| suvqi |   93737517 | 2013-10-14    |
| suvqi |   93737517 | 2013-10-30    |
| jocxn |   84583827 | 2013-09-21    |
| jocxn |   84583827 | 2013-09-30    |
| guhsu |   93519821 | 2013-10-17    |
| jbuqk |   37463702 | 2013-09-15    |
| jbuqk |   37463702 | 2013-10-21    |
| zbuiw |   57150512 | 2013-10-23    |
| fnpzc |   36764003 | 2013-09-13    |
| qqhbr |   36949310 | 2013-09-14    |
| fbatg |   32624437 | 2013-10-04    |
| fbatg |   32624437 | 2013-10-09    |
| hskjn |   33080913 | 2013-10-07    |
| hskjn |   33080913 | 2013-10-15    |
| hskjn |   33080913 | 2013-10-23    |
| wrmeo |   44842486 | 2013-09-29    |
| kjucm |   96431373 | 2013-09-15    |
| kjucm |   96431373 | 2013-09-20    |
| kjucm |   96431373 | 2013-09-21    |
| xtxys |   39369396 | 2013-09-18    |
| uufoo |   51130753 | 2013-10-11    |
| goptv |   23225374 | 2013-10-29    |
| rzyrw |   69869612 | 2013-10-14    |
| rrmfe |   82418227 | 2013-09-26    |
| pykbl |   75197322 | 2013-09-09    |
| cyknl |   93645873 | 2013-09-20    |
| cyknl |   93645873 | 2013-09-21    |
| cyknl |   93645873 | 2013-10-14    |
| dolbz |   55373892 | 2013-09-28    |
| namxz |   59875384 | 2013-10-04    |
| uhvse |   66681881 | 2013-09-28    |
| kbopj |   37604380 | 2013-09-29    |
| rqgmn |   46041294 | 2013-10-11    |
| wycwa |   74380731 | 2013-09-28    |
| vaqmt |   25695361 | 2013-09-21    |
| qlywn |   25992372 | 2013-09-05    |
| puigy |   29052129 | 2013-09-21    |
| puigy |   29052129 | 2013-09-28    |
| xdppr |   42041439 | 2013-10-24    |
| sinzk |   15112627 | 2013-09-15    |
| sinzk |   15112627 | 2013-09-26    |
| wikhf |   38824839 | 2013-10-09    |
| pjeux |   69517302 | 2013-10-10    |
| ynahi |   84916887 | 2013-10-05    |
| ynahi |   84916887 | 2013-10-28    |
| pdpwo |   70685848 | 2013-09-26    |
| pdpwo |   70685848 | 2013-10-21    |
| qgzfg |   58734365 | 2013-10-01    |
| qgzfg |   58734365 | 2013-10-11    |
| qgzfg |   58734365 | 2013-10-21    |
| bgufj |   74925105 | 2013-09-12    |
| bgufj |   74925105 | 2013-10-10    |
| eotma |   71305941 | 2013-10-24    |
| dylvz |   14404474 | 2013-10-19    |
| wxblc |   68231931 | 2013-09-18    |
| wxblc |   68231931 | 2013-10-14    |
| koapj |   38309606 | 2013-09-22    |
| cggva |   53318391 | 2013-10-10    |
| cggva |   53318391 | 2013-10-11    |
| cggva |   53318391 | 2013-10-22    |
| ildou |   62269094 | 2013-09-26    |
| ysmfn |   94184213 | 2013-10-12    |
| izlxp |   46752045 | 2013-09-19    |
| izlxp |   46752045 | 2013-10-28    |
| hevig |   36085745 | 2013-10-07    |
| sqvil |   36546823 | 2013-09-22    |
| vodiu |   86583870 | 2013-10-08    |
| rzcti |   16746519 | 2013-10-28    |
| ohcpw |   68767528 | 2013-09-03    |
| ohcpw |   68767528 | 2013-10-15    |
| phwdf |   81242605 | 2013-09-13    |
| phwdf |   81242605 | 2013-09-15    |
| phwdf |   81242605 | 2013-10-04    |
| ccgfh |   60409835 | 2013-10-26    |
| rfqxs |   53520619 | 2013-09-09    |
| daffh |   27742251 | 2013-09-13    |
| daffh |   27742251 | 2013-09-16    |
| ncnwf |   23325475 | 2013-10-25    |
| zkdim |   52488649 | 2013-09-27    |
| zkdim |   52488649 | 2013-10-16    |
| zwxxm |   74589184 | 2013-09-07    |
| zwxxm |   74589184 | 2013-09-08    |
| vsopj |   91051301 | 2013-09-12    |
| mnroh |   69579684 | 2013-09-19    |
| xjind |   85083993 | 2013-09-07    |
| xjind |   85083993 | 2013-09-08    |
| xjind |   85083993 | 2013-09-29    |
| xjind |   85083993 | 2013-10-25    |
| brbsk |   68710545 | 2013-09-28    |
| ytwum |   90376418 | 2013-10-05    |
| ytwum |   90376418 | 2013-10-22    |
| hbatr |   95279873 | 2013-10-08    |
| worze |   62829838 | 2013-09-06    |
| worze |   62829838 | 2013-09-13    |
| fpiel |   81196437 | 2013-09-27    |
| fpiel |   81196437 | 2013-10-29    |
| taiyo |   57238690 | 2013-10-11    |
| vwfcx |   33681327 | 2013-09-27    |
| chptr |   20289563 | 2013-09-10    |
| chptr |   20289563 | 2013-10-09    |
| jghtk |   12423013 | 2013-10-23    |
| jghtk |   12423013 | 2013-10-28    |
| yivsd |   41717068 | 2013-10-11    |
| yivsd |   41717068 | 2013-10-22    |
| iczzp |   99597206 | 2013-09-06    |
| iczzp |   99597206 | 2013-09-08    |
| iczzp |   99597206 | 2013-10-05    |
| bxbkm |   57247627 | 2013-09-17    |
| wcjao |   56403557 | 2013-09-14    |
| zzzwf |   76538233 | 2013-10-09    |
| npqnd |   44957568 | 2013-09-03    |
| npqnd |   44957568 | 2013-09-27    |
| npqnd |   44957568 | 2013-10-07    |
| pufos |   33945069 | 2013-10-02    |
| pufos |   33945069 | 2013-10-19    |
| zakts |   96018027 | 2013-09-26    |
| hdmuc |   65118689 | 2013-09-23    |
| qaezz |   93204723 | 2013-09-29    |
| qaezz |   93204723 | 2013-10-08    |
| rxztt |   90966798 | 2013-10-26    |
| lqamq |   86256416 | 2013-09-04    |
| fyowf |   86495483 | 2013-09-02    |
| hlrze |   63613930 | 2013-09-23    |
| lxgyw |   94385224 | 2013-10-08    |
| lxgyw |   94385224 | 2013-10-26    |
| bvzad |   10163171 | 2013-09-02    |
| akhra |   26796049 | 2013-09-06    |
| akhra |   26796049 | 2013-09-24    |
| lxxat |   67260210 | 2013-10-04    |
| lxxat |   67260210 | 2013-10-21    |
| zuftx |   67525443 | 2013-09-02    |
| hqrdk |   11433361 | 2013-09-27    |
| hqrdk |   11433361 | 2013-10-30    |
| clwwq |   52881934 | 2013-09-03    |
| cnhrh |   65413552 | 2013-09-03    |
| odsrb |   12928260 | 2013-09-03    |
| odsrb |   12928260 | 2013-10-26    |
| ihqtg |   24517423 | 2013-09-11    |
| dvdmo |   26849248 | 2013-10-11    |
| ixjrt |   25244070 | 2013-10-02    |
| okevb |   73119078 | 2013-09-24    |
| zlrnk |   65907807 | 2013-10-02    |
| zlrnk |   65907807 | 2013-10-27    |
| cfhzt |   21528768 | 2013-09-30    |
| lmiqn |   79836812 | 2013-10-23    |
| pfvrb |   15335772 | 2013-09-14    |
| pfvrb |   15335772 | 2013-10-25    |
| gemfd |   67314160 | 2013-10-28    |
| eneua |   44269379 | 2013-09-21    |
| eneua |   44269379 | 2013-10-16    |
| slxyg |   70012448 | 2013-10-04    |
| pmucl |   62045295 | 2013-09-24    |
| pkbxy |   16716367 | 2013-09-17    |
| pkbxy |   16716367 | 2013-09-21    |
| rvwwb |   63577000 | 2013-10-08    |
| cadlf |   35147691 | 2013-10-29    |
| jqwsd |   89943850 | 2013-09-27    |
| eketp |   24516375 | 2013-09-09    |
| eketp |   24516375 | 2013-09-10    |
| eketp |   24516375 | 2013-10-19    |
| crarb |   81786798 | 2013-09-05    |
| vfune |   94261005 | 2013-09-03    |
| znpmb |   44400488 | 2013-10-07    |
| znpmb |   44400488 | 2013-10-14    |
| nipfn |   72848085 | 2013-09-02    |
| nipfn |   72848085 | 2013-09-17    |
| skdgp |   81059016 | 2013-10-28    |
| amcdj |   19246893 | 2013-10-29    |
| brnen |   92214908 | 2013-09-05    |
| rfhxm |   12790579 | 2013-10-05    |
| hvnoc |   16215430 | 2013-10-03    |
| hvnoc |   16215430 | 2013-10-06    |
| jkbms |   75462061 | 2013-09-08    |
| bynsy |   94782918 | 2013-09-23    |
| oeoqa |   28966821 | 2013-09-10    |
| oeoqa |   28966821 | 2013-09-12    |
| yvhpu |   63721859 | 2013-09-21    |
| yvhpu |   63721859 | 2013-09-29    |
| yvhpu |   63721859 | 2013-10-26    |
| wcogs |   21771007 | 2013-09-18    |
| wcogs |   21771007 | 2013-10-11    |
| yagoj |   25391196 | 2013-10-25    |
| lhabd |   72626908 | 2013-09-02    |
| lhabd |   72626908 | 2013-09-05    |
| lhabd |   72626908 | 2013-09-15    |
| cqzub |   47137905 | 2013-10-01    |
| nftji |   58921324 | 2013-09-01    |
| xpepz |   63919939 | 2013-10-07    |
| imdyh |   37471245 | 2013-09-27    |
| ehloz |   65720618 | 2013-09-20    |
| ehloz |   65720618 | 2013-09-27    |
| gedfb |   62187122 | 2013-09-24    |
| gedfb |   62187122 | 2013-10-18    |
| ureex |   29509837 | 2013-09-08    |
| ureex |   29509837 | 2013-10-28    |
| sbqnf |   52168437 | 2013-10-15    |
| sbqnf |   52168437 | 2013-10-23    |
| dcxlb |   43712232 | 2013-10-15    |
| vmtaz |   71272111 | 2013-09-23    |
| rhfxs |   96539715 | 2013-10-12    |
| rhfxs |   96539715 | 2013-10-17    |
| hklxf |   96259730 | 2013-10-10    |
| hklxf |   96259730 | 2013-10-30    |
| fwrbx |   29939584 | 2013-10-12    |
| wegzb |   69158667 | 2013-10-07    |
| wegzb |   69158667 | 2013-10-17    |
| yexzq |   90563879 | 2013-10-05    |
| rxtrx |   65221325 | 2013-09-02    |
| moiim |   14538637 | 2013-10-27    |
| yoblj |   90675496 | 2013-09-04    |
| yoblj |   90675496 | 2013-10-09    |
| rteog |   95670484 | 2013-09-09    |
| rteog |   95670484 | 2013-09-10    |
+-------+------------+---------------+
493 rows in set (0.00 sec)

+-------+------------------+---------------+
| name  | certification_no | date_of_visit |
+-------+------------------+---------------+
| eswwa |          3112233 | 2013-10-24    |
| eswwa |          3112233 | 2013-10-10    |
| eswwa |          3112233 | 2013-10-27    |
| eswwa |          3112233 | 2013-10-26    |
| xhbxh |         10112233 | 2013-10-22    |
| xhbxh |         10112233 | 2013-10-29    |
| xhbxh |         10112233 | 2013-10-15    |
| xhbxh |         10112233 | 2013-10-05    |
| xhbxh |         10112233 | 2013-10-08    |
| xhbxh |         10112233 | 2013-10-27    |
| xhbxh |         10112233 | 2013-10-15    |
| fcdhg |         21112233 | 2013-10-06    |
| fcdhg |         21112233 | 2013-10-28    |
| ezcyf |         63112233 | 2013-10-13    |
| ezcyf |         63112233 | 2013-10-15    |
| sgofm |         70112233 | 2013-10-20    |
| sgofm |         70112233 | 2013-10-17    |
| sgofm |         70112233 | 2013-10-30    |
| sgofm |         70112233 | 2013-10-14    |
| sgofm |         70112233 | 2013-10-18    |
| sgofm |         70112233 | 2013-10-25    |
| sgofm |         70112233 | 2013-10-04    |
| sgofm |         70112233 | 2013-10-19    |
| tgapo |         74112233 | 2013-10-22    |
| trsmk |         81112233 | 2013-10-04    |
| trsmk |         81112233 | 2013-10-23    |
| trsmk |         81112233 | 2013-10-30    |
| trsmk |         81112233 | 2013-10-22    |
| trsmk |         81112233 | 2013-10-03    |
| trsmk |         81112233 | 2013-10-14    |
| trsmk |         81112233 | 2013-10-11    |
| trsmk |         81112233 | 2013-10-05    |
| junlm |        104112233 | 2013-10-10    |
| junlm |        104112233 | 2013-10-10    |
| rzxmy |        106112233 | 2013-10-11    |
| cysel |        133112233 | 2013-10-02    |
| cysel |        133112233 | 2013-10-25    |
| oaiyr |        141112233 | 2013-10-06    |
| oaiyr |        141112233 | 2013-10-12    |
| gxxkc |        156112233 | 2013-10-26    |
| gxxkc |        156112233 | 2013-10-25    |
| gxxkc |        156112233 | 2013-10-12    |
| gxxkc |        156112233 | 2013-10-23    |
| vqwub |        158112233 | 2013-10-08    |
| vqwub |        158112233 | 2013-10-30    |
| xegna |        170112233 | 2013-10-25    |
| xegna |        170112233 | 2013-10-02    |
| xegna |        170112233 | 2013-10-08    |
| xegna |        170112233 | 2013-10-10    |
| xegna |        170112233 | 2013-10-07    |
| cehjs |        180112233 | 2013-10-29    |
| srmcs |        207112233 | 2013-10-22    |
| srmcs |        207112233 | 2013-10-11    |
| udkfw |        232112233 | 2013-10-09    |
| qzhpo |        248112233 | 2013-10-14    |
| qzhpo |        248112233 | 2013-10-02    |
| mdoaa |        312112233 | 2013-10-30    |
| ccfbd |        335112233 | 2013-10-03    |
| sddit |        347112233 | 2013-10-26    |
| kprbh |        462112233 | 2013-10-09    |
| veowk |        468112233 | 2013-10-15    |
+-------+------------------+---------------+
61 rows in set (0.00 sec)

+---------------+----------+-------------+
| medicine_name | batch_id | expiry_date |
+---------------+----------+-------------+
| wqbec         |        2 | 2013-04-01  |
| wqbec         |        3 | 2013-04-01  |
| wqbec         |        4 | 2013-04-01  |
| wqbec         |        5 | 2013-04-01  |
| wqbec         |        6 | 2013-04-01  |
| gsviu         |        3 | 2013-04-01  |
| gsviu         |        4 | 2013-04-01  |
| gsviu         |        5 | 2013-04-01  |
| gsviu         |        6 | 2013-04-01  |
| wznno         |       11 | 2013-05-24  |
| wznno         |       12 | 2013-05-24  |
| wznno         |       13 | 2013-05-24  |
| wznno         |       14 | 2013-09-09  |
| wznno         |       15 | 2013-09-09  |
| ogdil         |       12 | 2013-05-24  |
| ogdil         |       13 | 2013-05-24  |
| ogdil         |       14 | 2013-09-09  |
| ogdil         |       15 | 2013-09-09  |
| wkfjv         |       20 | 2013-04-03  |
| wkfjv         |       21 | 2013-04-03  |
| ljqdw         |       20 | 2013-04-03  |
| ljqdw         |       21 | 2013-04-03  |
| ljqdw         |       24 | 2013-08-19  |
| vbwxu         |       21 | 2013-04-03  |
| vbwxu         |       24 | 2013-08-19  |
| vbwxu         |       25 | 2013-08-01  |
| bpxwi         |       36 | 2013-08-05  |
| bpxwi         |       37 | 2013-08-27  |
| bpxwi         |       38 | 2013-03-28  |
| bpxwi         |       39 | 2013-03-28  |
| bpxwi         |       40 | 2013-09-02  |
| bbbfz         |       38 | 2013-03-28  |
| bbbfz         |       39 | 2013-03-28  |
| bbbfz         |       40 | 2013-09-02  |
| snsyr         |       40 | 2013-09-02  |
| snsyr         |       43 | 2013-09-17  |
| snsyr         |       44 | 2013-04-19  |
| idcjc         |       43 | 2013-09-17  |
| idcjc         |       44 | 2013-04-19  |
| idcjc         |       45 | 2013-08-17  |
| idcjc         |       46 | 2013-06-09  |
| ulobd         |       44 | 2013-04-19  |
| ulobd         |       45 | 2013-08-17  |
| ulobd         |       46 | 2013-06-09  |
| ulobd         |       47 | 2013-02-26  |
| ulobd         |       48 | 2013-05-04  |
| eqpnz         |       45 | 2013-08-17  |
| eqpnz         |       46 | 2013-06-09  |
| eqpnz         |       47 | 2013-02-26  |
| eqpnz         |       48 | 2013-05-04  |
| eqpnz         |       49 | 2013-06-28  |
| ddddr         |       62 | 2013-06-12  |
| ddddr         |       63 | 2013-06-12  |
| ddddr         |       64 | 2013-06-12  |
| ssluu         |       65 | 2013-03-15  |
| ssluu         |       66 | 2013-03-15  |
| ssluu         |       67 | 2013-03-15  |
| ssluu         |       68 | 2013-03-15  |
| ssluu         |       69 | 2013-02-21  |
| ljkvj         |       79 | 2013-01-19  |
| ljkvj         |       80 | 2013-05-04  |
| ljkvj         |       81 | 2013-05-04  |
| ljkvj         |       82 | 2013-05-04  |
| ljkvj         |       83 | 2013-05-04  |
| scjzy         |       81 | 2013-05-04  |
| scjzy         |       82 | 2013-05-04  |
| scjzy         |       83 | 2013-05-04  |
| scjzy         |       84 | 2013-05-24  |
| owiox         |       84 | 2013-05-24  |
| srlqf         |       89 | 2013-05-10  |
| srlqf         |       90 | 2013-05-10  |
